" Siege of Berlin"

Attacker,Georgian_Kingdom
Defender,Greenland
Winner,Nobody

Participant Logs,,,,,,Kill Logs,,,,,
Player,Damage,Kills,Deaths,KDR,,Time (h),Killer Side,Killer,Victim,Location
_NaHa_,296.16,0,2,0.00,,3,Greenland,Ruzmarin,rolyy,"(2739.70, 54.55, -10709.30)"
WaterBreathingYT,294.34,0,2,0.00,,3,Georgian_Kingdom,Offlined,RedArt,"(2729.70, 38.00, -10710.92)"
NASA_Worker,286.41,0,1,0.00,,3,Greenland,_carb,Gnff,"(2724.36, 51.92, -10715.71)"
TitaCrafter,286.04,0,2,0.00,,3,Georgian_Kingdom,Nekometa13,ItzSpicey,"(2722.70, 45.74, -10708.30)"
sczre,275.94,0,1,0.00,,3,Greenland,CantHitMe,PaysafeDoVSKI,"(2734.70, 47.00, -10718.24)"
MortySmith123,274.79,1,0,1.00,,3,Greenland,Reerr,Nekometa13,"(2766.21, 26.17, -10722.70)"
7Glory,262.41,0,1,0.00,,4,Greenland,Xavlummea,RinneganPT,"(2677.93, 63.00, -10693.14)"
f3rnandes,259.85,1,0,1.00,,4,Georgian_Kingdom,rolyy,IzPwoj,"(2713.67, 59.00, -10741.70)"
Marie_Schrader,218.50,0,0,0.00,,4,Greenland,CantHitMe,NjMcr,"(2748.16, 24.87, -10721.30)"
_Srdjan,217.90,0,1,0.00,,4,Georgian_Kingdom,K4ppah,_NaHa_,"(2724.74, 63.00, -10717.37)"
RE4LPr0,215.00,0,3,0.00,,4,Georgian_Kingdom,Offlined,Coldballer78,"(2717.85, 59.00, -10717.71)"
SirMoneyBags36,196.87,0,1,0.00,,4,Georgian_Kingdom,Lapri,aree,"(2733.30, 60.00, -10689.33)"
Alluistic,195.41,1,0,1.00,,4,Georgian_Kingdom,Offlined,TiCTaCPoWer,"(2742.70, 63.30, -10709.30)"
snun,182.85,0,2,0.00,,4,Greenland,UghBraces,snun,"(2813.95, 57.15, -10734.70)"
IgnDog,167.55,0,0,0.00,,4,Georgian_Kingdom,rolyy,_carb,"(2730.70, 66.00, -10714.70)"
"#Suffocation",165.51,0,0,0.00,,4,Greenland,pixa__,NjMcr,"(2741.64, 70.50, -10715.09)"
DevvyVR,163.72,1,0,1.00,,4,Georgian_Kingdom,vCammy,UghBraces,"(2743.42, 65.00, -10653.42)"
shibqng,158.13,0,0,0.00,,4,Greenland,TiCTaCPoWer,snun,"(2755.91, 63.20, -10683.04)"
Volarys_Merchant,155.27,1,1,1.00,,4,Georgian_Kingdom,RedstoneBeam,TiCTaCPoWer,"(2725.83, 61.00, -10727.70)"
_Jackfish_,153.33,0,2,0.00,,4,Greenland,RedArt,RedstoneBeam,"(2728.83, 63.55, -10742.42)"
"#Creeper",146.79,0,0,0.00,,4,Georgian_Kingdom,7Krieg,Teagled,"(2717.06, 64.12, -10667.30)"
chubd,136.92,0,1,0.00,,4,Georgian_Kingdom,Bovada,aree,"(2832.82, 66.26, -10706.25)"
75fps,125.69,0,1,0.00,,4,Greenland,Cubanned,Lapri,"(2767.16, 60.75, -10709.30)"
"#Firework",105.76,0,0,0.00,,4,Georgian_Kingdom,RedstoneBeam,Xavlummea,"(2748.78, 63.00, -10694.03)"
JosePRizal,105.75,0,2,0.00,,4,Georgian_Kingdom,RedstoneBeam,_Cheems,"(2782.69, 65.62, -10676.76)"
Opt1musss,100.04,2,0,2.00,,4,Greenland,monkeynick123ooh,Gnff,"(2715.42, 63.50, -10682.42)"
SilentStormSix,98.59,0,0,0.00,,4,Georgian_Kingdom,Sluys,monkeynick123ooh,"(2668.30, 65.11, -10717.37)"
"#Zombie",92.89,0,0,0.00,,4,Georgian_Kingdom,PaysafeDoVSKI,praamzius,"(2745.38, 64.17, -10692.90)"
TexMexPenguin,87.03,0,1,0.00,,4,Greenland,UghBraces,TeaBurger,"(2728.08, 63.00, -10677.27)"
CopTop_YT,60.69,0,1,0.00,,4,Greenland,monkeynick123ooh,NjMcr,"(2774.40, 64.40, -10637.39)"
Aut0pot,60.40,0,0,0.00,,4,Greenland,TiCTaCPoWer,rolyy,"(2680.23, 33.00, -10681.36)"
"#Endermite",56.72,0,0,0.00,,4,Georgian_Kingdom,Lapri,TiCTaCPoWer,"(2699.67, 36.00, -10691.16)"
"#Drowning",56.16,0,0,0.00,,4,Georgian_Kingdom,Gnff,monkeynick123ooh,"(2734.70, 39.00, -10724.70)"
NotTolerable,52.29,0,0,0.00,,4,Georgian_Kingdom,Lapri,_Cheems,"(2748.49, 65.62, -10703.86)"
Ismet_Djuheric,47.24,0,1,0.00,,4,Georgian_Kingdom,Bovada,RedArt,"(2746.70, 63.21, -10704.70)"
IgnTorn,47.22,0,0,0.00,,4,Greenland,TridentChugger,Sluys,"(2712.70, 59.29, -10717.30)"
Sihor,43.52,0,2,0.00,,4,Georgian_Kingdom,Gnff,W00BACK,"(2705.30, 57.31, -10691.99)"
SixthThreat,40.97,0,1,0.00,,4,Georgian_Kingdom,Offlined,praamzius,"(2805.30, 64.23, -10708.54)"
"#Custom",30.92,0,0,0.00,,4,Georgian_Kingdom,MDJayy,IzPwoj,"(2747.78, 64.06, -10677.55)"
Adderral,27.37,0,0,0.00,,4,Georgian_Kingdom,Pupunan,ItzSpicey,"(2755.83, 64.89, -10722.70)"
GeromeFlood,26.42,0,0,0.00,,4,Georgian_Kingdom,Gnff,W00BACK,"(2714.70, 59.74, -10691.54)"
"#Spider",25.98,0,0,0.00,,4,Georgian_Kingdom,Lapri,aree,"(2740.62, 61.50, -10716.61)"
N3ghtmare,24.25,0,1,0.00,,5,Georgian_Kingdom,rolyy,W00BACK,"(2738.70, 46.51, -10737.70)"
Lu_ki_,17.69,0,1,0.00,,5,Greenland,Cubanned,rolyy,"(2737.51, 46.00, -10737.60)"
Edotbabyyy,16.72,0,0,0.00,,5,Georgian_Kingdom,6mint9,_Cheems,"(2744.50, 46.12, -10766.95)"
ceedric_,8.42,0,0,0.00,,5,Greenland,TridentChugger,Barters,"(2766.70, 24.17, -10727.67)"
"#Enderman",4.08,0,0,0.00,,5,Georgian_Kingdom,rolyy,NonStopYuno,"(2746.19, 63.34, -10737.75)"
passsway,3.99,0,0,0.00,,5,Georgian_Kingdom,rolyy,_NaHa_,"(2745.63, 63.00, -10732.57)"
BigBirdFalse,3.99,0,0,0.00,,5,Greenland,"#Fall",Danday,"(2729.23, 63.00, -10736.73)"
"#Zombie villager",3.97,0,0,0.00,,6,Georgian_Kingdom,RinneganPT,CantHitMe,"(2724.30, 54.08, -10700.30)"
"#Contact",2.95,0,0,0.00,,6,Greenland,CookiesCuddleCat,rolyy,"(2738.54, 46.00, -10746.07)"
SergeantPanda77,2.81,0,0,0.00,,16,Greenland,TLCFoxer,RinneganPT,"(2712.79, 59.02, -10712.94)"
